geneName	gene	geneID
LOC100857862	DNOV00013511	gene15428
SYTL4	DNOV00001541	gene5296
H2AFY	DNOV00002935	gene11175
MATN4	DNOV00008492	gene13379
TRPM2	DNOV00011113	gene9251
KIAA1467	DNOV00002529	gene518
FAM86A	DNOV00002301	gene11662
USP38	DNOV00009634	gene5583
ZNF346	DNOV00002714	gene11041
C7H2orf69	DNOV00000639	gene8139
CUTC	DNOV00016492	gene7769
B4GALT7	DNOV00002697	gene11023
LOC431300	DNOV00017375	gene16478
CST7	DNOV00010205	gene4009
DCUN1D5	DNOV00014716	gene2051
LOC770392	DNOV00006480	gene6641
SCHIP1	DNOV00009889	gene9550
KLHL28	DNOV00009967	gene7410
TFAP2E	DNOV00011644	gene14211
DNA2	DNOV00012640	gene7545
CECR5	DNOV00004388	gene804
WNT9A	DNOV00002430	gene2345
SPARC	DNOV00005644	gene11099
C19H17orf76	DNOV00007405	gene13038
OAF	DNOV00017019	gene14396
NDUFA7	DNOV00008219	gene15350
LOC422307	DNOV00005758	gene5363
KIF3A	DNOV00002972	gene11214
DUSP3	DNOV00012552	gene15143
RAD54B	DNOV00005056	gene3580
ZNF593	DNOV00001443	gene14075
DDR2	DNOV00006250	gene8617
NAPG	DNOV00009442	gene3304
WASF3	DNOV00004162	gene1982
OSBPL2	DNOV00006503	gene13437
RHBDD1	DNOV00001874	gene9304
MOSPD2	DNOV00017440	gene1535
C12H3orf14	DNOV00005096	gene10777
ADAM11	DNOV00012876	gene15071
MBD5	DNOV00013351	gene8516
ARRDC2	DNOV00008535	gene15546
SERINC4	DNOV00017225	gene10064
NMB	DNOV00002836	gene9629
CAPN13	DNOV00001274	gene3895
RANBP9	DNOV00011574	gene3009
ADCYAP1	DNOV00005449	gene3339
PRSSL1	DNOV00008977	gene15590
FAM118B	DNOV00012680	gene14336
ATP1B3	DNOV00012978	gene9323
KIAA0368	DNOV00013436	gene16320
BARD1	DNOV00000740	gene8053
LOC416055	DNOV00011476	gene10749
LOC100858763	DNOV00014655	gene15724
ARL6IP5	DNOV00005126	gene10805
RGMB	DNOV00011748	gene16183
TAC1	DNOV00013167	gene2595
ADIPOR1	DNOV00007297	gene14790
MRPS10	DNOV00010293	gene4136
SSR2	DNOV00012327	gene14657
PPIE	DNOV00001496	gene14276
ECE1	DNOV00016252	gene13923
PLA2G12A	DNOV00014904	gene5942
RNF169	DNOV00015421	gene2236
RERG	DNOV00004403	gene824
RNF150	DNOV00009642	gene5578
ASH1L	DNOV00012722	gene14630
DEF8	DNOV00018723	gene10441
BNC2	DNOV00005724	gene16016
CLCN3	DNOV00010716	gene5552
CTDSPL	DNOV00002468	gene2375
LOC424740	DNOV00010775	gene9139
MMP28	DNOV00001750	gene13004
DCAF8	DNOV00011116	gene17417
LOC408037	DNOV00001428	gene14112
GCNT7	DNOV00015844	gene13609
HAUS8	DNOV00008542	gene15554
LOC419182	DNOV00008496	gene13375
LOC100858851	DNOV00004495	gene16115
NFKB2	DNOV00007053	gene7661
NRG4	DNOV00014687	gene9721
TRIM37	DNOV00006171	gene13159
NPPC	DNOV00004680	gene13880
GLDN	DNOV00008841	gene9832
PNPT1	DNOV00008020	gene3801
CCDC137	DNOV00015084	gene12770
FAM62C	DNOV00012690	gene8463
SALL1	DNOV00007678	gene10240
PBX4	DNOV00012515	gene17556
CTSS	DNOV00011159	gene14658
LOC100858903	DNOV00017498	gene17794
SLC12A9	DNOV00006070	gene9422
RFWD3	DNOV00010030	gene10180
RAB40B	DNOV00007150	gene12597
SELT	DNOV00013737	gene9591
CLTA	DNOV00014369	gene16192
PTPLA	DNOV00000924	gene2516
ASF1A	DNOV00012825	gene4599
FAM136A	DNOV00005241	gene14042
ARHGDIA	DNOV00012397	gene12822
MED20	DNOV00000323	gene14983
EIF3D	DNOV00004328	gene652
ANGEL1	DNOV00004026	gene7079
MDH1B	DNOV00000689	gene8182
CYB5A	DNOV00017623	gene3265
BRS3	DNOV00001557	gene5278
LIPC	DNOV00003343	gene9789
MSH4	DNOV00017432	gene9118
C3H1orf124	DNOV00004435	gene4348
ZC3H12B	DNOV00009167	gene5113
LOC100857843	DNOV00007511	gene10148
GOLGA2	DNOV00009511	gene12345
FAM155B	DNOV00009142	gene5133
CRISPLD1	DNOV00008045	gene3517
NOTCH2	DNOV00006261	gene8629
LOC770318	DNOV00008821	gene9850
SIN3A	DNOV00002918	gene9705
IL18	DNOV00011943	gene14485
FAM116A	DNOV00007589	gene10683
LOC428824	DNOV00015584	gene6460
TMEM97	DNOV00003717	gene13223
APBA3	DNOV00008232	gene15362
GMIP	DNOV00012512	gene17554
MUDENG	DNOV00011540	gene7336
ALDOC	DNOV00018759	gene13080
PPM1E	DNOV00006170	gene13158
CCT4	DNOV00001191	gene3991
TP53I3	DNOV00013969	gene4956
CCDC82	DNOV00006958	gene2071
GGCL1	DNOV00013902	gene12917
NUDT9	DNOV00012230	gene5767
LOC100858163	DNOV00017888	gene14540
MPI	DNOV00002907	gene9677
TMEM151B	DNOV00004960	gene4210
ITGB1BP2	DNOV00001608	gene5219
ZNF568	DNOV00015694	gene3844
LOC431250	DNOV00011212	gene1752
CRABP1	DNOV00014695	gene9730
LOC100859124	DNOV00016269	gene15491
HAGH	DNOV00005316	gene11441
HDAC10	DNOV00008926	gene207
HARS	DNOV00012386	gene10887
GC	DNOV00011656	gene5847
MMD	DNOV00000517	gene12682
CLMP	DNOV00009953	gene14377
PRKCI	DNOV00007107	gene9507
FASN	DNOV00012417	gene12658
TDRD6	DNOV00011044	gene5095
VGLL4	DNOV00015239	gene10622
KBTBD4	DNOV00006694	gene6795
C14H17orf39	DNOV00005281	gene11407
ADPGK	DNOV00002871	gene9660
ST8SIA1	DNOV00010528	gene854
PIK3IP1	DNOV00001374	gene12008
SLC25A24	DNOV00010443	gene8569
GBE	DNOV00002543	gene531
CHRNB2	DNOV00017769	gene14613
CDC23	DNOV00003016	gene11256
TRADD	DNOV00011446	gene10206
ADSL	DNOV00002594	gene579
LOC100857227	DNOV00010105	gene15830
MYL2	DNOV00000802	gene11878
LPCAT1	DNOV00014822	gene3211
MAGT1	DNOV00005802	gene5396
TCP11L2	DNOV00004291	gene685
FAM49B	DNOV00017779	gene3712
TRIP12	DNOV00001889	gene9317
GTF3C6	DNOV00006619	gene4641
LOC100859398	DNOV00017773	gene17728
QRFPR	DNOV00011253	gene5893
TBC1D19	DNOV00011301	gene6121
LIMA1	DNOV00014932	gene16457
METTL7A	DNOV00014927	gene16450
LOC100858997	DNOV00016827	gene15500
LOC100857402	DNOV00006747	gene12409
SLC35F1	DNOV00012829	gene4605
WSCD1	DNOV00003705	gene13236
LONRF1	DNOV00002107	gene6019
SLC39A12	DNOV00000910	gene2509
GRIP2	DNOV00007631	gene10732
RAVER2	DNOV00015312	gene9078
PARK7	DNOV00014975	gene13675
PMM2	DNOV00002283	gene11565
SPEF1	DNOV00017796	gene16881
POLL	DNOV00008311	gene7812
HIBADH	DNOV00006865	gene2711
JMJD1C	DNOV00012012	gene7492
DEPDC1	DNOV00011330	gene9099
EPHA1	DNOV00017417	gene1039
H2AFY2	DNOV00012090	gene7600
EXOC3L4	DNOV00005521	gene7238
PIK3R4	DNOV00013177	gene2799
SGSH	DNOV00013272	gene12792
NCAPG	DNOV00003369	gene6148
MAFF	DNOV00002630	gene608
ARNTL2	DNOV00004874	gene878
SERAC1	DNOV00008815	gene4483
POT1	DNOV00008935	gene215
PUM2	DNOV00017720	gene4937
MYO1B	DNOV00000610	gene8115
MGAT5	DNOV00014412	gene8481
EPHA10	DNOV00013657	gene14183
LOC771022	DNOV00010338	gene6494
SH3GLB1	DNOV00004221	gene8845
TXNDC11	DNOV00002258	gene11294
C10H15orf40	DNOV00004729	gene9872
RTKN2	DNOV00012006	gene7498
BMX	DNOV00007504	gene1530
GARS	DNOV00002467	gene2374
CDS1	DNOV00015759	gene5796
KIF9	DNOV00016062	gene2360
CCDC57	DNOV00012418	gene12656
ATN1	DNOV00011799	gene1026
LOC420294	DNOV00005879	gene3763
TMEM163	DNOV00014414	gene8482
COPS2	DNOV00008826	gene9847
LOC424939	DNOV00006069	gene9423
LOC768665	DNOV00015490	gene10389
CCT7	DNOV00010555	gene6333
MAP3K14	DNOV00012862	gene15085
HOOK3	DNOV00009399	gene16214
AP1G1	DNOV00013456	gene10475
AGK	DNOV00006340	gene750
PHKA2	DNOV00007481	gene1510
KIAA1107	DNOV00004248	gene8826
ECHDC2	DNOV00004610	gene9006
TLR5	DNOV00001234	gene4073
LOC770080	DNOV00007663	gene10700
TSPAN6	DNOV00001539	gene5298
PDPR	DNOV00010028	gene10178
PEMT	DNOV00005274	gene11400
SMURF1	DNOV00005251	gene11375
ERG	DNOV00007326	gene1382
PLCD4	DNOV00015885	gene15266
CGNRH-R	DNOV00006794	gene9982
ARMC7	DNOV00000457	gene12870
GAR1	DNOV00014906	gene5940
POR	DNOV00001745	gene13001
ZNF217	DNOV00013855	gene13623
HMGCS1	DNOV00016028	gene15816
C2H9orf5	DNOV00014718	gene3191
FCHSD1	DNOV00011903	gene10919
JPH1	DNOV00008048	gene3514
PRPF39	DNOV00009969	gene7408
C3H2orf18	DNOV00017405	gene5004
SSTR1	DNOV00003975	gene7030
PLCL2	DNOV00006893	gene2731
LONP2	DNOV00007697	gene10256
C5H15orf62	DNOV00016675	gene6449
GCLC	DNOV00014495	gene4837
TTC1	DNOV00005674	gene10978
CYP7B1	DNOV00017871	gene3466
DDX49	DNOV00015820	gene15525
MRPS23	DNOV00003736	gene13209
RIC3	DNOV00003058	gene6577
LNPEP	DNOV00011744	gene16186
ATP6AP2	DNOV00017521	gene1452
CRISPLD2	DNOV00011487	gene10382
WBP11	DNOV00017001	gene477
ORC4	DNOV00013350	gene8515
LOC100857736	DNOV00000860	gene11817
RELL2	DNOV00011904	gene10918
E2F8	DNOV00010317	gene6483
ALS2CR8	DNOV00000678	gene8173
LGALS8	DNOV00012799	gene4315
CRTAP	DNOV00013468	gene2854
RPL7A	DNOV00003507	gene12432
BRMS1L	DNOV00003963	gene7019
SRF	DNOV00017316	gene3871
LRIF1	DNOV00007293	gene14786
CDK5RAP3	DNOV00010511	gene15177
CDC42	DNOV00014768	gene13903
REM1	DNOV00009032	gene13518
CHAT	DNOV00005392	gene7445
KREMEN1	DNOV00015999	gene11947
PTCD1	DNOV00005260	gene11383
TTC27	DNOV00004994	gene4240
C1H22orf32	DNOV00002554	gene543
EIF5B	DNOV00003144	gene1632
PWP2	DNOV00010872	gene1429
C1H12orf35	DNOV00006361	gene770
FOXL2	DNOV00001839	gene9269
GPA33	DNOV00012204	gene1247
XDH	DNOV00001269	gene3874
VPS11	DNOV00013931	gene14313
POU2F3	DNOV00017020	gene14395
MRPS27	DNOV00013789	gene15958
EFHC1	DNOV00011083	gene5064
FRAS1	DNOV00011688	gene5648
TBCCD1	DNOV00010805	gene9199
ATF1	DNOV00014929	gene16453
LYPLA2	DNOV00001481	gene14290
NEUROD6	DNOV00014470	gene2899
UROD	DNOV00005946	gene8930
PABPC1	DNOV00007769	gene3616
SNX29	DNOV00002243	gene11279
CDH19	DNOV00018371	gene3282
IL1B	DNOV00017119	gene14056
CGA	DNOV00011840	gene4737
LOC422928	DNOV00006367	gene6297
PIKFYVE	DNOV00000718	gene8206
LOC429115	DNOV00011328	gene9097
COMMD9	DNOV00012789	gene6766
C11H16orf48	DNOV00007540	gene10109
LRRC45	DNOV00012411	gene12664
OAZ1	DNOV00016621	gene15419
POU4F3	DNOV00005745	gene5348
ANGEL2	DNOV00015187	gene4110
RNLS	DNOV00012035	gene7527
LOC427435	DNOV00010819	gene15781
FAM82A2	DNOV00016677	gene6445
C1H12orf32	DNOV00016283	gene966
METTL4	DNOV00005452	gene3338
UBXN4	DNOV00014422	gene8492
ICA1	DNOV00013156	gene2604
PTPRO	DNOV00004404	gene825
C3H6orf115	DNOV00002354	gene4511
LOC100859173	DNOV00009155	gene5125
PAPD5	DNOV00007684	gene10248
TMCO3	DNOV00009739	gene1690
LOC100858408	DNOV00010679	gene11634
MRAP2	DNOV00009285	gene4746
MPHOSPH9	DNOV00000849	gene11829
ERICH1	DNOV00016585	gene4860
C21H1orf174	DNOV00006119	gene13698
C19H7orf42	DNOV00007406	gene13037
CASC5	DNOV00016680	gene6440
KLF5	DNOV00008128	gene1813
STK3	DNOV00017640	gene3607
ZBTB10	DNOV00015794	gene3532
RBPJL	DNOV00008493	gene13378
KLHL32	DNOV00014019	gene4698
PHKG1	DNOV00001772	gene13027
GLTP	DNOV00000761	gene12129
LOC422065	DNOV00013975	gene5104
ZFHX3	DNOV00013448	gene10463
LOC771763	DNOV00009024	gene13506
RIPK4	DNOV00007306	gene1400
RECQL5	DNOV00000436	gene12651
CCND3	DNOV00000321	gene14985
BCL7A	DNOV00000820	gene11857
FCHSD2	DNOV00011980	gene2216
C9H3orf58	DNOV00012992	gene9338
EXD1	DNOV00001048	gene6845
LOC423240	DNOV00001097	gene6882
EXO1	DNOV00005593	gene4298
IL6ST	DNOV00010128	gene15854
FTSJD2	DNOV00004953	gene4206
FBXO6	DNOV00004671	gene13889
SOCS2	DNOV00008398	gene421
MC2R	DNOV00009418	gene3284
RNF103	DNOV00006381	gene6271
LOC100858676	DNOV00014297	gene16963
C20H20orf111	DNOV00008470	gene13399
ALCAM	DNOV00003784	gene1196
CYP2R1	DNOV00003051	gene6584
PEBP1	DNOV00001336	gene12045
CDCP2	DNOV00004591	gene9025
BPGM	DNOV00004400	gene821
USP33	DNOV00008734	gene8886
SPAG6	DNOV00016111	gene2496
FNDC3B	DNOV00007118	gene9497
PDE4D	DNOV00010137	gene15864
TBC1D22A	DNOV00009541	gene190
SLC16A5	DNOV00000458	gene12869
GOT2	DNOV00010009	gene10166
T	DNOV00005980	gene4399
RPE	DNOV00000723	gene8042
C2H18orf55	DNOV00017622	gene3266
SEL1L	DNOV00015321	gene7112
BEAN1	DNOV00009357	gene10334
ISM1	DNOV00001219	gene3969
ELMO3	DNOV00014806	gene10132
DGCR14	DNOV00011718	gene11952
ZBTB47	DNOV00002449	gene2329
C23H1orf216	DNOV00011646	gene14209
MTHFD2	DNOV00016879	gene14031
C1H11orf30	DNOV00011962	gene2157
INPP5A	DNOV00008453	gene7994
LOC100858401	DNOV00015671	gene15510
LSS	DNOV00018144	gene8103
OGCHI	DNOV00003204	gene12321
G2E3	DNOV00010102	gene6988
HTR6	DNOV00013920	gene13837
RWDD1	DNOV00012844	gene4619
FBXL3	DNOV00008117	gene1801
C1QB	DNOV00014761	gene13897
EXPH5	DNOV00012464	gene2027
TPRG1L	DNOV00006110	gene13704
TNNI2	DNOV00006477	gene6639
CHRDL1	DNOV00005816	gene5408
GLTPD1	DNOV00010599	gene13749
HMMR	DNOV00016081	gene10963
RBM41	DNOV00016948	gene5185
TAF7	DNOV00001627	gene5200
SLC6A20	DNOV00008169	gene2826
ATP2A3	DNOV00001709	gene12968
HGFAC	DNOV00003440	gene6219
PNISR	DNOV00014026	gene4691
CDC20B	DNOV00010118	gene15842
INTS4	DNOV00011949	gene2144
PLK1S1	DNOV00015703	gene3851
TBK1	DNOV00010896	gene317
NISCH	DNOV00011354	gene10505
SLC25A14	DNOV00014117	gene5158
MYH7B	DNOV00015559	gene13338
FAM132A	DNOV00010607	gene13757
AIFM1	DNOV00014113	gene5161
AMH	DNOV00016618	gene15420
CEP104	DNOV00006117	gene13700
LRRC41	DNOV00005917	gene8955
TGFB2	DNOV00008003	gene4095
TMEM200B	DNOV00009865	gene14156
ZNF800	DNOV00008931	gene213
GDF2	DNOV00015378	gene7689
KCTD8	DNOV00002054	gene6070
PAK1IP1	DNOV00015278	gene3027
AJAP1	DNOV00006120	gene13697
ST8SIA6	DNOV00000926	gene2518
UBE2Z	DNOV00010499	gene15157
LCP1	DNOV00003628	gene1871
SETD4	DNOV00007345	gene1364
ARHGAP11A	DNOV00013326	gene6960
PPIL2	DNOV00011698	gene11751
WDR59	DNOV00010034	gene10183
TATDN3	DNOV00015192	gene4113
SPATA16	DNOV00007123	gene9491
GATA2	DNOV00007664	gene10699
SWI5	DNOV00009509	gene12344
EXOC2	DNOV00008641	gene3086
CLTCL1	DNOV00011713	gene11732
SCAMP1	DNOV00002772	gene15916
COG6	DNOV00003678	gene1922
RPL36	DNOV00008201	gene15338
NDFIP2	DNOV00008107	gene1791
LOC100857958	DNOV00017877	gene14616
LEMD3	DNOV00010903	gene322
FSTL3	DNOV00008978	gene15591
IGFBP5	DNOV00000186	gene8398
TMEM17	DNOV00003545	gene3919
AMN	DNOV00005517	gene7233
GJA1	DNOV00003960	gene4593
FAM117B	DNOV00000676	gene8171
PRKCB	DNOV00008711	gene11473
ELF5	DNOV00012779	gene6755
POPDC2	DNOV00010743	gene1102
SLC10A4	DNOV00002072	gene6051
SPO11	DNOV00015848	gene13603
WFS1	DNOV00003416	gene6193
LOC429367	DNOV00015935	gene12060
OLFML3	DNOV00000210	gene14924
RWDD4	DNOV00008608	gene5709
TMEM204	DNOV00009766	gene11678
STAB1	DNOV00011353	gene10506
PRRG1	DNOV00015260	gene1466
CZH5orf63	DNOV00009586	gene16237
HSPA8	DNOV00009954	gene14378
RHPN1	DNOV00005874	gene3759
LOC422305	DNOV00005755	gene5360
PSMA5	DNOV00017674	gene16711
ALDH18A1	DNOV00008458	gene7998
AIFM2	DNOV00012091	gene7599
SLC25A29	DNOV00005492	gene7210
OR1F2P	DNOV00018504	gene17410
COX4NB	DNOV00015493	gene10391
LOC100857684	DNOV00016991	gene467
ARR3	DNOV00009133	gene5140
YAP1	DNOV00014707	gene2062
ACCN5	DNOV00010352	gene5512
LOC414835	DNOV00005063	gene3586
CNRIP1	DNOV00003527	gene3952
CNOT6L	DNOV00011686	gene5650
IL7	DNOV00017819	gene3525
RIMBP2	DNOV00014093	gene11795
RPL3L	DNOV00005321	gene11447
PLA2G7	DNOV00011043	gene5096
PYGL	DNOV00010000	gene7384
BCL10	DNOV00004214	gene8853
SNRNP35	DNOV00000856	gene11821
WNT16	DNOV00017203	gene233
SESN3	DNOV00006949	gene2077
HSPBAP1	DNOV00009491	gene8434
RAB20	DNOV00015000	gene1710
ANAPC2	DNOV00003257	gene12285
CHP	DNOV00001049	gene6846
MSH2	DNOV00001290	gene3909
SKOR2	DNOV00007931	gene15653
FASLG	DNOV00006274	gene8642
RPS2	DNOV00005323	gene11449
PURB	DNOV00012368	gene10901
SPPL2B	DNOV00008207	gene15334
LOC100858546	DNOV00017259	gene17620
SAMHD1	DNOV00006991	gene13279
MRPL22	DNOV00005626	gene11081
ZIC2	DNOV00014199	gene1748
CACNA1E	DNOV00002205	gene8687
WDFY2	DNOV00003661	gene1908
LOC100859027	DNOV00012521	gene17562
IL21	DNOV00011399	gene5884
LOC396318	DNOV00008857	gene5473
JARID2	DNOV00011582	gene3014
SCFD1	DNOV00010101	gene6990
TMEM242	DNOV00008811	gene4478
OXR1	DNOV00007742	gene3642
LACC1	DNOV00003607	gene1856
FAM3D	DNOV00011455	gene10768
PTH	DNOV00003103	gene6538
MYNN	DNOV00007099	gene9516
TDH	DNOV00017109	gene5040
MESDC1	DNOV00004750	gene9889
RAB11B	DNOV00008216	gene15346
LOC100858515	DNOV00003373	gene6152
FKBP14	DNOV00006877	gene2720
MPG	DNOV00009832	gene11583
ERLIN1	DNOV00012022	gene7516
WDR82	DNOV00011364	gene10582
THUMPD3	DNOV00012491	gene10851
MTMR9LP	DNOV00001522	gene14248
LOC427394	DNOV00013794	gene16398
C6H10orf46	DNOV00016756	gene7918
LOC422442	DNOV00009652	gene5567
TRIM33	DNOV00000207	gene14926
KLF4	DNOV00009376	gene16232
RSPO1	DNOV00013654	gene14186
PALB2	DNOV00008703	gene11479
TK1	DNOV00014800	gene12812
GINS3	DNOV00007569	gene10085
WNT11	DNOV00011967	gene2159
ARHGEF33	DNOV00003569	gene4035
SLC24A5	DNOV00008836	gene9836
MFAP1	DNOV00017223	gene10062
TRIM8	DNOV00014571	gene7830
PCK1	DNOV00015853	gene13599
RDM1	DNOV00009075	gene15092
XPO6	DNOV00010681	gene11632
DCP1B	DNOV00004384	gene800
LRPPRC	DNOV00010266	gene4159
AZI1	DNOV00017371	gene12782
TRPV2	DNOV00006143	gene13128
APTX	DNOV00014985	gene16357
ZC3H12C	DNOV00017331	gene2024
ACTR8	DNOV00013187	gene10667
POLG	DNOV00004775	gene9910
SURF2	DNOV00003505	gene12434
SDCBP	DNOV00016652	gene3449
POSTN	DNOV00003689	gene1932
LPCAT3	DNOV00011803	gene1031
CSF1	DNOV00000413	gene16828
GLB1L3	DNOV00009939	gene14370
OPN5	DNOV00016843	gene5102
C28H19orf44	DNOV00008554	gene15564
TMPRSS6	DNOV00004339	gene642
TCP11	DNOV00000358	gene14944
PTGS1	DNOV00011778	gene12504
POF1B	DNOV00015780	gene5309
OIT3	DNOV00015578	gene7571
FAM164A	DNOV00017820	gene3524
C1H12orf69	DNOV00017000	gene476
LYRM5	DNOV00010518	gene867
GLP2R	DNOV00014643	gene12552
SLC46A3	DNOV00004146	gene1966
NOXO1	DNOV00005325	gene11451
LOC428693	DNOV00009137	gene5137
SIK2	DNOV00011931	gene14314
C5H14orf166B	DNOV00004027	gene7081
MOCS1	DNOV00011002	gene4191
DEXI	DNOV00002266	gene11551
LAMA4	DNOV00006609	gene4632
ZMYND19	DNOV00003269	gene12277
SH2D1B	DNOV00003774	gene1204
WFDC8	DNOV00016788	gene13557
C5H14orf79	DNOV00010264	gene7272
C10H15orf58	DNOV00016820	gene10053
LARP1	DNOV00005630	gene11085
PCTK3	DNOV00000289	gene14844
GRID2IP	DNOV00008717	gene11467
C18H17orf75	DNOV00000538	gene12704
LOC776271	DNOV00009863	gene14154
FYN	DNOV00006611	gene4635
TDRD5	DNOV00002190	gene8699
IFT140	DNOV00009765	gene11677
LSM14A	DNOV00009334	gene10309
COL4A6	DNOV00016142	gene5417
CHAF1B	DNOV00007340	gene1368
ANGPTL3	DNOV00016108	gene9068
FERD3L	DNOV00003891	gene2634
LOC416876	DNOV00000800	gene11880
SMAD3	DNOV00006768	gene10003
HACE1	DNOV00006669	gene4680
CABLES2	DNOV00006506	gene13441
PIP4K2B	DNOV00015462	gene15191
STXBP4	DNOV00000515	gene12678
BRWD1	DNOV00007323	gene1385
IFT57	DNOV00003778	gene1201
NCAPD3	DNOV00009935	gene14366
PUSL1	DNOV00010602	gene13752
IFT172	DNOV00015043	gene4964
LOXL1	DNOV00002883	gene9670
CRTAM	DNOV00009958	gene14380
NTPCR	DNOV00004426	gene4340
LIN7A	DNOV00004111	gene387
PHOSPHO1	DNOV00010492	gene15151
EYA1	DNOV00008065	gene3500
FBXL13	DNOV00010411	gene140
SENP6	DNOV00013609	gene4776
LOC100858524	DNOV00007343	gene1366
MYH11	DNOV00002233	gene11509
F2R	DNOV00002761	gene15926
GCNT1	DNOV00014046	gene16070
ACTR3	DNOV00016343	gene8476
FUK	DNOV00010026	gene10176
EIF6	DNOV00006970	gene13315
LOC100857954	DNOV00015021	gene6699
BCHE	DNOV00007084	gene9528
MPP5	DNOV00001163	gene6942
NPY1R	DNOV00010374	gene5531
ZNF654	DNOV00011385	gene1224
DCUN1D1	DNOV00006030	gene9467
SLC24A4	DNOV00006196	gene7150
P4HA3	DNOV00015417	gene2232
RNF128	DNOV00008863	gene5468
SACS	DNOV00004177	gene1995
LMNB1	DNOV00009589	gene16235
SLC28A2	DNOV00002830	gene9622
RPL6	DNOV00000789	gene11894
GJD2	DNOV00013344	gene6976
TARS	DNOV00010837	gene15768
WDPCP	DNOV00003540	gene3923
CCRN4L	DNOV00009658	gene5561
PEPD	DNOV00009325	gene10305
TTC28	DNOV00016008	gene11939
RSPO4	DNOV00009023	gene13505
MLPH	DNOV00015221	gene8066
RNF208	DNOV00011204	gene12257
C4H4orf52	DNOV00011297	gene6124
PROCR	DNOV00010807	gene9201
NGB	DNOV00004033	gene7087
KLF7	DNOV00000685	gene8179
LOC100858931	DNOV00018347	gene16884
INTS6	DNOV00003660	gene1907
RAB14	DNOV00003454	gene12493
VSTM4	DNOV00017050	gene7696
ULK3	DNOV00002905	gene9680
NT5C2	DNOV00014582	gene7838
SEC61B	DNOV00016229	gene3239
GRPR	DNOV00007499	gene1525
SMYD2	DNOV00014895	gene4107
KIAA1024	DNOV00004764	gene9902
NDUFA9	DNOV00014137	gene948
MAP2	DNOV00000721	gene8039
GDAP2	DNOV00010772	gene1076
LOC425605	DNOV00017142	gene17638
LOC772071	DNOV00016149	gene5425
TRMT12	DNOV00001542	gene5295
ZDHHC4	DNOV00008718	gene11466
FASTKD3	DNOV00015064	gene3157
LOC100859641	DNOV00011133	gene17494
PTPN7	DNOV00007258	gene14754
C11H16orf87	DNOV00007707	gene10263
IGF1	DNOV00004267	gene714
GABRR3	DNOV00016887	gene1238
DCUN1D3	DNOV00001894	gene11715
KLF12	DNOV00008127	gene1812
ASPG	DNOV00005538	gene7256
RIBC2	DNOV00004911	gene909
CHD9	DNOV00007672	gene10237
LOC427652	DNOV00010675	gene11638
LOC419511	DNOV00018198	gene14025
HPCAL1	DNOV00007437	gene4901
SNCAIP	DNOV00009605	gene16424
AFF1	DNOV00012226	gene5772
C18H17orf58	DNOV00000551	gene12717
TBX20	DNOV00013540	gene2883
LOC100858430	DNOV00018657	gene16870
TEF	DNOV00002576	gene565
MLEC	DNOV00001366	gene12017
HMOX1	DNOV00004317	gene661
AFF3	DNOV00003146	gene1634
BATF3	DNOV00015194	gene4115
HDAC1	DNOV00001525	gene14245
LOC100859647	DNOV00003422	gene6200
RPL19	DNOV00015444	gene15199
LOC100857467	DNOV00010676	gene11637
EIF4E	DNOV00007995	gene5952
PACSIN3	DNOV00006682	gene6809
SLC26A5	DNOV00010404	gene147
MFSD10	DNOV00006423	gene6225
EIF2A	DNOV00013736	gene9592
ZNF76	DNOV00000361	gene14941
MRC2	DNOV00009095	gene15110
CDKN1B	DNOV00004934	gene933
NAA20	DNOV00015482	gene8556
RHOBTB3	DNOV00011735	gene16248
CLOCK	DNOV00002097	gene6028
PAG1	DNOV00015797	gene3535
C14H7orf26	DNOV00009812	gene11603
MTMR7	DNOV00014841	gene6007
TMEM5	DNOV00010891	gene312
HTATSF1	DNOV00001556	gene5279
PDCD2	DNOV00004461	gene4369
SGCG	DNOV00004179	gene1996
ADD1	DNOV00006422	gene6226
NKX2-5	DNOV00002684	gene11010
AGTR2	DNOV00001587	gene5245
C6H10orf88	DNOV00017438	gene7945
UNC5A	DNOV00002716	gene11044
SHPRH	DNOV00015359	gene4433
SEC22C	DNOV00002451	gene2326
C3H1orf198	DNOV00004454	gene4363
FAM101B	DNOV00006166	gene13152
ROGDI	DNOV00009756	gene11700
PDIK1L	DNOV00001446	gene14165
TSPAN2	DNOV00017918	gene14936
RHBG	DNOV00012346	gene14535
LZTS2	DNOV00008302	gene7821
MST4	DNOV00001577	gene5253
MGAT3	DNOV00002604	gene588
PA2G4	DNOV00018091	gene16471
XPO4	DNOV00004189	gene2005
LOC422906	DNOV00006393	gene6257
PRPF6	DNOV00006546	gene13481
BLVRA	DNOV00012912	gene2934
LAMP1	DNOV00009743	gene1694
DUS2L	DNOV00011425	gene10218
TMEM170A	DNOV00010042	gene10191
FAT3	DNOV00006923	gene2099
ARL5B	DNOV00000906	gene2506
C1QTNF8	DNOV00005301	gene11427
THY1	DNOV00011911	gene14399
SPINT1	DNOV00013781	gene6839
SNX21	DNOV00016794	gene13562
SNAI1	DNOV00013875	gene13644
MRPL51	DNOV00012067	gene1000
RNF151	DNOV00005059	gene3582
DUSP10	DNOV00008016	gene4081
SPACA1	DNOV00011830	gene4728
GOLGA4	DNOV00014468	gene2901
C11H19orf40	DNOV00009313	gene10296
HTR3A	DNOV00016097	gene14419
